Label,ICD_TYPE,ICD_TYPE_CLEAN,Mapping_Conversion,ICD_CODE,CODE_Reference,ICD Definition,Group,CCSR Category,Exclude
GastroEmerg,ICD-10-CM,ICD10CM,537.2; 537.3 ,K31.5,K315,Obstruction of duodenum,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,550.12,K40.00,K4000,Bilateral inguinal hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,550.13,K40.01,K4001,Bilateral inguinal hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,550.1,K40.30,K4030,Unilateral inguinal hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,550.11,K40.31,K4031,Unilateral inguinal hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.02,K41.00,K4100,Bilateral femoral hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.03,K41.01,K4101,Bilateral femoral hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,552,K41.30,K4130,Unilateral femoral hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.01,K41.31,K4131,Unilateral femoral hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.1,K42.0,K420,Umbilical hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.21,K43.0,K430,Incisional hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.29,K43.3,K433,Parastomal hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.2,K43.6,K436,Other and unspecified ventral hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.3,K44.0,K440,Diaphragmatic hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.8,K45.0,K450,Other specified abdominal hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.9,K46.0,K460,Unspecified abdominal hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,555.0 + 560.9,K50.012,K50012,Crohns disease of small intestine with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,555.1 + 560.9,K50.112,K50112,Crohns disease of large intestine with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,555.2 + 560.9,K50.812,K50812,Crohns disease of both small and large intestine with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,555.9 + 560.9,K50.912,K50912,Crohns disease,,,
GastroEmerg,ICD-10-CM,ICD10CM,556.6 + 560.89,K51.012,K51012,Ulcerative (chronic) pancolitis with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,556.2 + 560.89,K51.212,K51212,Ulcerative (chronic) proctitis with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,556.3 + 560.89,K51.312,K51312,Ulcerative (chronic) rectosigmoiditis with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,556.4 + 560.89,K51.412,K51412,Inflammatory polyps of colon with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,556.5 + 560.89,K51.512,K51512,Left sided colitis with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,556.8 + 560.89,K51.812,K51812,Other ulcerative colitis with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,556.9 + 560.89,K51.912,K51912,Ulcerative colitis,,,
GastroEmerg,ICD-10-CM,ICD10CM,560.1,K56.0,K560,Paralytic ileus,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560,K56.1,K561,Intussusception,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.2,K56.2,K562,Volvulus,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.31,K56.3,K563,Gallstone ileus,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.32,K56.41,K5641,Fecal impaction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.30; 560.39,K56.49,K5649,Other impaction of intestine,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.81,K56.5,K565,Intestinal adhesions [bands] with obstruction (postprocedural) (postinfection),Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.81,K56.50,K5650,Intestinal adhesions [bands],,,
GastroEmerg,ICD-10-CM,ICD10CM,560.81,K56.51,K5651,Intestinal adhesions [bands],,,
GastroEmerg,ICD-10-CM,ICD10CM,560.81,K56.52,K5652,Intestinal adhesions [bands] with complete obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.9,K56.60,K5660,Unspecified intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.91,K56.600,K56600,Partial intestinal obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,560.92,K56.601,K56601,Complete intestinal obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,560.93,K56.609,K56609,Unspecified intestinal obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,560.89,K56.69,K5669,Other intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.89,K56.690,K56690,Other partial intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.89,K56.691,K56691,Other complete intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.89,K56.699,K56699,Other intestinal obstruction unspecified as to partial versus complete obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.1,K56.7,K567,Ileus,,,
GastroEmerg,ICD-10-CM,ICD10CM,997.49,K91.3,K913,Postprocedural intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,997.49,K91.30,K9130,Postprocedural intestinal obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,997.49,K91.31,K9131,Postprocedural partial intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,997.49,K91.32,K9132,Postprocedural complete intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,577.0 + 078.5,B25.2,B252,Cytomegaloviral pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,72.3,B26.3,B263,Mumps pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.0,K850,Idiopathic acute pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.00,K8500,Idiopathic acute pancreatitis without necrosis or infection,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.01,K8501,Idiopathic acute pancreatitis with uninfected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.02,K8502,Idiopathic acute pancreatitis with infected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.1,K851,Biliary acute pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.10,K8510,Biliary acute pancreatitis without necrosis or infection,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.11,K8511,Biliary acute pancreatitis with uninfected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.12,K8512,Biliary acute pancreatitis with infected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.2,K852,Alcohol induced acute pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.20,K8520,Alcohol induced acute pancreatitis without necrosis or infection,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.21,K8521,Alcohol induced acute pancreatitis with uninfected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.22,K8522,Alcohol induced acute pancreatitis with infected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.3,K853,Drug induced acute pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.30,K8530,Drug induced acute pancreatitis without necrosis or infection,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.31,K8531,Drug induced acute pancreatitis with uninfected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.32,K8532,Drug induced acute pancreatitis with infected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.8,K858,Other acute pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.80,K8580,Other acute pancreatitis without necrosis or infection,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.81,K8581,Other acute pancreatitis with uninfected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.82,K8582,Other acute pancreatitis with infected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.9,K859,Acute pancreatitis,,,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.90,K8590,Acute pancreatitis without necrosis or infection,,,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.91,K8591,Acute pancreatitis with uninfected necrosis,,,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.92,K8592,Acute pancreatitis with infected necrosis,,,
GastroEmerg,ICD-10-CM,ICD10CM,577.1,K86.0,K860,Alcohol-induced chronic pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577.1; 577.8,K86.1,K861,Other chronic pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,456,I85.01,I8501,Esophageal varices with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,456.2,I85.11,I8511,Secondary esophageal varices with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,None,K20.81,K2081,Other esophagitis with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,None,K20.91,K2091,Esophagitis,,,
GastroEmerg,ICD-10-CM,ICD10CM,None,K21.01,K2101,Gastro-esophageal reflux disease with esophagitis,,,
GastroEmerg,ICD-10-CM,ICD10CM,530.21,K22.11,K2211,Ulcer of esophagus with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,530.7,K22.6,K226,Gastro-esophageal laceration-hemorrhage syndrome,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,531,K25.0,K250,Acute gastric ulcer with hemorrhage,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,531.2,K25.2,K252,Acute gastric ulcer with both hemorrhage and perforation,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,531.4,K25.4,K254,Chronic or unspecified gastric ulcer with hemorrhage,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,531.6,K25.6,K256,Chronic or unspecified gastric ulcer with both hemorrhage and perforation,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,532,K26.0,K260,Acute duodenal ulcer with hemorrhage,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,532.2,K26.2,K262,Acute duodenal ulcer with both hemorrhage and perforation,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,532.4,K26.4,K264,Chronic or unspecified duodenal ulcer with hemorrhage,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,532.6,K26.6,K266,Chronic or unspecified duodenal ulcer with both hemorrhage and perforation,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,533,K27.0,K270,Acute peptic ulcer,,,
GastroEmerg,ICD-10-CM,ICD10CM,533.2,K27.2,K272,Acute peptic ulcer,,,
GastroEmerg,ICD-10-CM,ICD10CM,533.4,K27.4,K274,Chronic or unspecified peptic ulcer,,,
GastroEmerg,ICD-10-CM,ICD10CM,533.6,K27.6,K276,Chronic or unspecified peptic ulcer,,,
GastroEmerg,ICD-10-CM,ICD10CM,534,K28.0,K280,Acute gastrojejunal ulcer with hemorrhage,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,534.2,K28.2,K282,Acute gastrojejunal ulcer with both hemorrhage and perforation,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,534.4,K28.4,K284,Chronic or unspecified gastrojejunal ulcer with hemorrhage,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,534.6,K28.6,K286,Chronic or unspecified gastrojejunal ulcer with both hemorrhage and perforation,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,535.01,K29.01,K2901,Acute gastritis with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,535.31,K29.21,K2921,Alcoholic gastritis with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,535.41,K29.31,K2931,Chronic superficial gastritis with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,535.11,K29.41,K2941,Chronic atrophic gastritis with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,535.11,K29.51,K2951,Unspecified chronic gastritis with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,535.21,K29.61,K2961,Other gastritis with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,535.51,K29.71,K2971,Gastritis,,,
GastroEmerg,ICD-10-CM,ICD10CM,353.61,K29.81,K2981,Duodenitis with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,535.51,K29.91,K2991,Gastroduodenitis,,,
GastroEmerg,ICD-10-CM,ICD10CM,537.83,K31.811,K31811,Angiodysplasia of stomach and duodenum with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,537.84,K31.82,K3182,Dieulafoy lesion (hemorrhagic) of stomach and duodenum,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,555,K50.011,K50011,Crohns disease of small intestine with rectal bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,555.1,K50.111,K50111,Crohns disease of large intestine with rectal bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,555.2,K50.811,K50811,Crohns disease of both small and large intestine with rectal bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,555.9,K50.911,K50911,Crohns disease,,,
GastroEmerg,ICD-10-CM,ICD10CM,556.6,K51.011,K51011,Ulcerative (chronic) pancolitis with rectal bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,556.2,K51.211,K51211,Ulcerative (chronic) proctitis with rectal bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,556.3,K51.311,K51311,Ulcerative (chronic) rectosigmoiditis with rectal bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,556.4,K51.411,K51411,Inflammatory polyps of colon with rectal bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,556.5,K51.511,K51511,Left sided colitis with rectal bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,556.8,K51.811,K51811,Other ulcerative colitis with rectal bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,556.9,K51.911,K51911,Ulcerative colitis,,,
GastroEmerg,ICD-10-CM,ICD10CM,569.85,K55.21,K5521,Angiodysplasia of colon with hemorrhage,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,562.03 + 569.5,K57.01,K5701,Diverticulitis of small intestine with perforation and abscess with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,562.03,K57.11,K5711,Diverticulosis of small intestine without perforation or abscess with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,562.02,K57.13,K5713,Diverticulitis of small intestine without perforation or abscess with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,562.13 + 569.5,K57.21,K5721,Diverticulitis of large intestine with perforation and abscess with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,562.12,K57.31,K5731,Diverticulosis of large intestine without perforation or abscess with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,562.13,K57.33,K5733,Diverticulitis of large intestine without perforation or abscess with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,562.03 + 569.5 + 562.13,K57.41,K5741,Diverticulitis of both small and large intestine with perforation and abscess with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,562.02 +562.12,K57.51,K5751,Diverticulosis of both small and large intestine without perforation or abscess with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,562.03 + 562.13,K57.53,K5753,Diverticulitis of both small and large intestine without perforation or abscess with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,562.13 + 569.5,K57.81,K5781,Diverticulitis of intestine,,,
GastroEmerg,ICD-10-CM,ICD10CM,562.12,K57.91,K5791,Diverticulosis of intestine,,,
GastroEmerg,ICD-10-CM,ICD10CM,562.13,K57.93,K5793,Diverticulitis of intestine,,,
GastroEmerg,ICD-10-CM,ICD10CM,569.3,K62.5,K625,Hemorrhage of anus and rectum,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,578,K92.0,K920,Hematemesis,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,578.1,K92.1,K921,Melena,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,578.9,K92.2,K922,Gastrointestinal hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K56.0; K56.7,560.1,'5601 ',Paralytic ileus,Intestinal obstruction without hernia [145.],145,
GastroEmerg,ICD-9-CM,ICD9CM,K56.49,560.3,'56030',Impaction of intestine,,,
GastroEmerg,ICD-9-CM,ICD9CM,K56.41,560.32,'56032',Fecal impaction,Intestinal obstruction without hernia [145.],145,
GastroEmerg,ICD-9-CM,ICD9CM,K56.49,560.39,'56039',Other impaction of intestine,Intestinal obstruction without hernia [145.],145,
GastroEmerg,ICD-9-CM,ICD9CM,K56.50; K56.51; K56.52,560.81,'56081',Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection),Intestinal obstruction without hernia [145.],145,
GastroEmerg,ICD-9-CM,ICD9CM,K56.1,560,'5600 ',Intussusception,Intestinal obstruction without hernia [145.],145,
GastroEmerg,ICD-9-CM,ICD9CM,K56.2,560.2,'5602 ',Volvulus,Intestinal obstruction without hernia [145.],145,
GastroEmerg,ICD-9-CM,ICD9CM,K56.3,560.31,'56031',Gallstone ileus,Intestinal obstruction without hernia [145.],145,
GastroEmerg,ICD-9-CM,ICD9CM,K56.690; K56.691; K56.699,560.89,'56089',Other specified intestinal obstruction,Intestinal obstruction without hernia [145.],145,
GastroEmerg,ICD-9-CM,ICD9CM,K56.600,,,,,,
GastroEmerg,ICD-9-CM,ICD9CM,K31.5,537.2,'5372 ',Chronic duodenal ileus,Other disorders of stomach and duodenum [141.],141,
GastroEmerg,ICD-9-CM,ICD9CM,K31.5,537.3,'5373 ',Other obstruction of duodenum,Other disorders of stomach and duodenum [141.],141,
GastroEmerg,ICD-9-CM,ICD9CM,K40.00,550.12,'55012',Inguinal hernia,,,
GastroEmerg,ICD-9-CM,ICD9CM,K40.01,550.13,'55013',Inguinal hernia,,,
GastroEmerg,ICD-9-CM,ICD9CM,K40.30,550.1,'55010',Inguinal hernia,,,
GastroEmerg,ICD-9-CM,ICD9CM,K40.31,550.11,'55011',Inguinal hernia with obstruction,,,
GastroEmerg,ICD-9-CM,ICD9CM,K41.00,552.02,'55202',Femoral hernia with obstruction,,,
GastroEmerg,ICD-9-CM,ICD9CM,K41.01,552.03,'55203',Femoral hernia with obstruction,,,
GastroEmerg,ICD-9-CM,ICD9CM,K41.30,552,'55200',Femoral hernia with obstruction,,,
GastroEmerg,ICD-9-CM,ICD9CM,K41.31,552.01,'55201',Femoral hernia with obstruction,,,
GastroEmerg,ICD-9-CM,ICD9CM,K42.0,552.1,'5521 ',Umbilical hernia with obstruction,Abdominal hernia [143.],143,
GastroEmerg,ICD-9-CM,ICD9CM,K43.0,552.21,'55221',Incisional ventral hernia with obstruction,Abdominal hernia [143.],143,
GastroEmerg,ICD-9-CM,ICD9CM,K43.3,552.29,'55229',Other ventral hernia with obstruction,Abdominal hernia [143.],143,
GastroEmerg,ICD-9-CM,ICD9CM,K43.6,552.2,'55220',Ventral,,,
GastroEmerg,ICD-9-CM,ICD9CM,K44.0,552.3,'5523 ',Diaphragmatic hernia with obstruction,Abdominal hernia [143.],143,
GastroEmerg,ICD-9-CM,ICD9CM,K45.0,552.8,'5528 ',Hernia of other specified sites,,,
GastroEmerg,ICD-9-CM,ICD9CM,K46.0,552.9,'5529 ',Hernia of unspecified site,,,
GastroEmerg,ICD-9-CM,ICD9CM,K91.3; K91.30; K91.31; K91.32,997.49,'99749',Other digestive system complications,Complications of surgical procedures or medical care [238.],238,
GastroEmerg,ICD-9-CM,ICD9CM,K85.90; K85.91; K85.92,577,'5770 ',Acute pancreatitis,Pancreatic disorders (not diabetes) [152.],152,
GastroEmerg,ICD-9-CM,ICD9CM,K86.1,577.1,'5771 ',Chronic pancreatitis,Pancreatic disorders (not diabetes) [152.],152,
GastroEmerg,ICD-9-CM,ICD9CM,B26.3,72.3,'0723 ',Mumps pancreatitis,Other viral infections [7.],7,
GastroEmerg,ICD-9-CM,ICD9CM,K25.0,531,'53100',Acute gastric ulcer with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K25.0 + K56.699,531.01,'53101',Acute gastric ulcer with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K25.2,531.2,'53120',Acute gastric ulcer with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K25.2 + K56.699,531.21,'53121',Acute gastric ulcer with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K25.4,531.4,'53140',Chronic or unspecified gastric ulcer with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K25.4 + K56.699,531.41,'53141',Chronic or unspecified gastric ulcer with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K25.6,531.6,'53160',Chronic or unspecified gastric ulcer with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K25.6 + K56.699,531.61,'53161',Chronic or unspecified gastric ulcer with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K26.0,532,'53200',Acute duodenal ulcer with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K26.0 + K56.699,532.01,'53201',Acute duodenal ulcer with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K26.2,532.2,'53220',Acute duodenal ulcer with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K26.2 + K56.699,532.21,'53221',Acute duodenal ulcer with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K26.4,532.4,'53240',Chronic or unspecified duodenal ulcer with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K26.4 + K56.699,532.41,'53241',Chronic or unspecified duodenal ulcer with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K26.6,532.6,'53260',Chronic or unspecified duodenal ulcer with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K26.6 + K56.699,532.61,'53261',Chronic or unspecified duodenal ulcer with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K27.0,533,'53300',Acute peptic ulcer of unspecified site with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K27.0 + K56.699,533.01,'53301',Acute peptic ulcer of unspecified site with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K27.2,533.2,'53320',Acute peptic ulcer of unspecified site with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K27.2 + K56.699,533.21,'53321',Acute peptic ulcer of unspecified site with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K27.4,533.4,'53340',Chronic or unspecified peptic ulcer of unspecified site with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K27.4 + K56.699,533.41,'53341',Chronic or unspecified peptic ulcer of unspecified site with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K27.6,533.6,'53360',Chronic or unspecified peptic ulcer of unspecified site with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K27.6 + K56.699,533.61,'53361',Chronic or unspecified peptic ulcer of unspecified site with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K28.0,534,'53400',Acute gastrojejunal ulcer with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K28.0 + K56.699,534.01,'53401',Acute gastrojejunal ulcer with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K28.2,534.2,'53420',Acute gastrojejunal ulcer with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K28.2 + K56.699,534.21,'53421',Acute gastrojejunal ulcer with hemorrhage and perforation,,,
GastroEmerg,ICD-9-CM,ICD9CM,K28.4,534.4,'53440',Chronic or unspecified gastrojejunal ulcer with hemorrhage,,,
GastroEmerg,ICD-9-CM,ICD9CM,K28.4 + K56.699,534.41,'53441',Chronic or unspecified gastrojejunal ulcer with hemorrhage,,,
